species_id,habitat_type,population_trend,fishing_pressure,average_size_cm,geographic_region,reproduction_rate,depth_range_m,water_temperature_c,population_size_thousands,conservation_status
250,Coastal,Stable,Low,147.33,Mediterranean,0.92,1537.1,21.61,301.62,Moderate
251,Coral Reef,Critical,Low,22.86,Pacific,7.09,1258.99,13.58,54.52,Moderate
252,Open Ocean,Declining,High,144.49,Mediterranean,6.66,1268.36,5.48,254.58,Moderate
253,Open Ocean,Stable,Moderate,113.27,Indian Ocean,2.7,903.31,22.24,368.0,Good
254,Coastal,Declining,Very High,25.53,Mediterranean,6.97,1064.56,28.64,496.05,Moderate
255,Coral Reef,Critical,Moderate,97.08,Indian Ocean,9.43,1492.71,20.8,314.94,Good
256,Coastal,Critical,Very High,102.09,Indian Ocean,0.94,1652.75,15.88,185.78,Poor
257,Coral Reef,Increasing,Low,41.5,Arctic,3.54,1394.64,18.13,113.85,Moderate
258,Estuary,Stable,Moderate,189.68,Indian Ocean,4.66,1848.53,9.99,436.54,Good
259,Deep Sea,Declining,Very High,171.5,Indian Ocean,9.04,1641.55,23.76,407.47,Moderate
260,Deep Sea,Increasing,High,137.11,Atlantic,9.64,1125.92,23.66,117.73,Moderate
261,Deep Sea,Stable,High,97.84,Pacific,4.72,1344.46,8.64,101.12,Poor
262,Coastal,Increasing,Moderate,88.24,Arctic,7.63,1852.99,26.95,357.85,Good
263,Estuary,Critical,Moderate,133.68,Arctic,5.55,1240.24,11.73,158.16,Poor
264,Coral Reef,Stable,Low,113.63,Arctic,5.61,1650.49,29.56,153.89,Good
265,Open Ocean,Increasing,Moderate,21.83,Atlantic,3.14,1379.18,14.57,76.99,Moderate
266,Coral Reef,Increasing,Low,107.38,Indian Ocean,2.56,1106.11,9.45,132.72,Good
267,Open Ocean,Declining,Low,163.22,Pacific,3.24,487.47,13.79,214.33,Moderate
268,Coral Reef,Increasing,High,97.26,Mediterranean,5.79,854.87,16.0,366.69,Good
269,Estuary,Stable,High,19.87,Indian Ocean,0.78,1935.65,6.73,168.82,Moderate
270,Open Ocean,Stable,Very High,159.39,Atlantic,9.12,1317.24,19.46,164.97,Moderate
271,Coastal,Declining,High,48.26,Indian Ocean,1.98,1130.97,19.94,143.17,Poor
272,Coral Reef,Stable,High,59.14,Indian Ocean,2.59,1866.25,23.47,239.66,Moderate
273,Coral Reef,Critical,Moderate,41.29,Atlantic,5.42,1175.09,5.73,91.14,Poor
274,Open Ocean,Stable,High,72.74,Arctic,7.25,1054.53,18.53,243.33,Moderate
275,Coastal,Stable,Very High,153.78,Arctic,1.41,1519.83,6.32,352.38,Poor
276,Coastal,Increasing,Moderate,108.68,Pacific,3.52,1426.77,22.53,15.87,Moderate
277,Estuary,Increasing,Very High,48.93,Pacific,9.7,390.35,6.39,5.88,Moderate
278,Coastal,Stable,High,176.79,Arctic,2.99,945.26,27.79,38.49,Poor
279,Coastal,Declining,Very High,177.12,Mediterranean,3.47,947.67,22.55,268.29,Poor
280,Coastal,Increasing,Moderate,175.41,Indian Ocean,8.45,759.56,17.68,427.37,Good
281,Deep Sea,Declining,Low,55.37,Mediterranean,0.98,1037.0,16.04,3.44,Moderate
282,Estuary,Stable,Very High,95.74,Indian Ocean,4.91,829.15,8.27,468.39,Moderate
283,Coral Reef,Stable,Very High,197.15,Arctic,4.11,402.69,12.27,54.03,Poor
284,Open Ocean,Critical,Moderate,156.68,Pacific,3.51,827.67,26.72,421.15,Moderate
285,Coral Reef,Increasing,Moderate,15.16,Pacific,3.21,149.19,27.61,241.94,Moderate
286,Estuary,Stable,Very High,22.39,Mediterranean,1.37,1153.69,5.02,330.02,Poor
287,Open Ocean,Critical,High,98.15,Pacific,3.49,1708.04,19.85,255.83,Poor
288,Estuary,Increasing,Very High,182.75,Arctic,0.91,1451.95,22.98,239.05,Moderate
289,Coastal,Stable,Moderate,112.35,Mediterranean,7.92,723.99,20.47,417.61,Good
290,Open Ocean,Stable,Low,104.58,Indian Ocean,4.28,178.71,7.04,378.19,Good
291,Coastal,Increasing,Low,30.04,Pacific,4.72,408.29,10.44,242.22,Good
292,Coral Reef,Increasing,High,134.79,Atlantic,8.99,1093.25,11.26,56.71,Moderate
293,Coral Reef,Increasing,Very High,166.2,Pacific,6.75,418.08,25.79,58.59,Poor
294,Open Ocean,Stable,Low,82.28,Indian Ocean,0.58,1090.23,16.58,400.97,Good
295,Open Ocean,Stable,Very High,157.37,Mediterranean,9.46,467.04,17.17,265.17,Moderate
296,Estuary,Critical,Moderate,193.25,Indian Ocean,2.75,1698.6,28.37,241.31,Poor
297,Estuary,Declining,Low,48.72,Atlantic,1.52,797.56,20.93,340.6,Moderate
298,Coastal,Increasing,High,109.43,Arctic,7.8,494.87,27.47,429.56,Good
299,Open Ocean,Stable,Moderate,64.56,Pacific,5.25,1625.59,16.41,314.81,Good
300,Coral Reef,Stable,High,160.64,Mediterranean,4.62,688.96,8.74,381.66,Moderate
301,Estuary,Increasing,Moderate,119.74,Arctic,2.87,227.42,28.25,382.87,Moderate
302,Estuary,Declining,Low,130.57,Indian Ocean,5.7,1142.97,16.47,178.77,Moderate
303,Coral Reef,Increasing,High,161.6,Mediterranean,3.11,1165.22,9.54,137.77,Moderate
304,Estuary,Declining,High,85.23,Arctic,9.07,1430.82,12.56,400.78,Good
305,Coastal,Stable,Moderate,183.87,Mediterranean,2.54,484.24,6.27,189.21,Moderate
306,Open Ocean,Declining,High,111.28,Atlantic,8.9,890.32,16.71,451.76,Moderate
307,Coral Reef,Critical,Moderate,40.01,Atlantic,5.81,568.32,26.33,35.78,Poor
308,Open Ocean,Stable,Moderate,142.22,Pacific,8.37,166.5,28.34,30.05,Moderate
309,Estuary,Critical,Moderate,160.72,Pacific,7.27,1753.84,28.32,463.58,Moderate
310,Estuary,Increasing,Moderate,70.18,Atlantic,7.12,1459.1,8.13,324.58,Good
311,Coral Reef,Increasing,Low,172.86,Mediterranean,3.58,606.42,14.55,190.42,Good
312,Coastal,Increasing,Moderate,182.17,Atlantic,2.72,1200.75,5.71,377.78,Moderate
313,Deep Sea,Declining,Very High,62.61,Pacific,2.5,406.52,26.38,336.49,Poor
314,Coral Reef,Stable,High,196.87,Atlantic,8.64,1781.02,13.97,266.07,Good
315,Deep Sea,Increasing,Very High,36.74,Atlantic,8.29,234.24,20.78,50.34,Moderate
316,Deep Sea,Increasing,Low,48.38,Mediterranean,4.69,12.66,22.87,406.28,Good
317,Coastal,Stable,Very High,45.0,Arctic,1.76,1006.51,15.75,433.15,Moderate
318,Deep Sea,Increasing,High,179.86,Pacific,4.13,1168.34,12.66,86.91,Moderate
319,Deep Sea,Critical,Very High,134.32,Mediterranean,6.38,1160.04,29.06,425.41,Moderate
320,Coastal,Stable,Low,38.9,Atlantic,4.82,113.75,29.11,439.05,Good
321,Deep Sea,Stable,Moderate,93.66,Atlantic,7.91,631.52,12.24,275.16,Good
322,Deep Sea,Stable,Very High,126.91,Arctic,9.98,1000.9,16.99,328.43,Moderate
323,Deep Sea,Critical,Low,25.86,Pacific,2.32,437.08,29.32,191.74,Moderate
324,Coral Reef,Stable,Low,177.66,Pacific,4.87,1745.89,5.12,141.61,Moderate
325,Coral Reef,Critical,High,162.68,Indian Ocean,4.59,178.78,15.32,361.27,Moderate
326,Coral Reef,Stable,High,105.99,Pacific,3.39,977.33,7.51,431.08,Moderate
327,Coastal,Declining,Very High,193.75,Arctic,2.38,1384.38,17.73,327.38,Poor
328,Estuary,Increasing,Moderate,89.37,Indian Ocean,1.12,527.19,5.62,256.28,Moderate
329,Deep Sea,Declining,Low,196.98,Indian Ocean,8.93,1250.36,15.17,80.3,Moderate
330,Deep Sea,Increasing,Very High,136.9,Atlantic,4.49,1659.62,10.52,27.68,Poor
331,Coastal,Critical,Low,130.59,Atlantic,5.22,384.72,18.33,223.4,Moderate
332,Deep Sea,Declining,Low,41.53,Pacific,9.21,1834.86,29.9,25.63,Good
333,Coral Reef,Stable,Moderate,177.57,Indian Ocean,7.87,1109.35,25.01,285.1,Good
334,Estuary,Increasing,Moderate,91.22,Atlantic,1.74,601.97,26.14,191.98,Good
335,Open Ocean,Increasing,Very High,40.82,Arctic,5.87,864.56,20.88,378.84,Moderate
336,Deep Sea,Declining,Moderate,12.4,Atlantic,4.7,627.82,6.04,153.52,Moderate
337,Coral Reef,Critical,Moderate,116.35,Atlantic,8.07,1451.6,10.17,296.9,Moderate
338,Open Ocean,Declining,Very High,110.21,Indian Ocean,7.38,1593.62,28.13,269.3,Moderate
339,Estuary,Critical,Moderate,146.68,Indian Ocean,7.06,1666.71,14.15,3.35,Moderate
340,Open Ocean,Critical,High,179.15,Mediterranean,3.74,1971.61,7.59,37.12,Poor
341,Coral Reef,Increasing,Low,25.09,Arctic,8.15,1583.61,22.56,145.89,Good
342,Open Ocean,Declining,Low,148.98,Indian Ocean,1.0,1204.76,12.49,441.24,Moderate
343,Coastal,Declining,Low,45.61,Pacific,2.02,681.74,11.72,74.36,Poor
344,Open Ocean,Critical,Low,173.05,Arctic,3.69,1091.47,29.95,355.74,Moderate
345,Deep Sea,Declining,Very High,165.62,Arctic,1.23,86.93,26.45,486.71,Poor
346,Deep Sea,Stable,Low,112.75,Indian Ocean,2.73,1490.93,15.2,395.49,Good
347,Coastal,Stable,Low,144.95,Arctic,8.39,894.68,29.51,122.23,Good
348,Coral Reef,Declining,Low,69.73,Indian Ocean,9.51,44.95,21.25,454.27,Good
349,Deep Sea,Declining,Low,99.52,Atlantic,3.39,129.7,23.55,47.46,Moderate
350,Estuary,Critical,High,166.11,Mediterranean,3.01,778.0,5.79,234.6,Poor
351,Deep Sea,Stable,Low,97.26,Atlantic,3.16,1168.93,8.04,443.88,Good
352,Deep Sea,Stable,High,77.98,Indian Ocean,3.14,931.09,20.83,320.99,Moderate
353,Coral Reef,Increasing,Very High,103.9,Indian Ocean,0.84,1240.31,27.48,207.41,Poor
354,Open Ocean,Critical,Moderate,167.37,Atlantic,9.31,963.19,20.59,147.11,Moderate
355,Deep Sea,Increasing,Low,73.69,Pacific,2.53,1325.1,8.35,188.17,Moderate
356,Coastal,Stable,Moderate,43.01,Pacific,4.49,442.16,7.89,254.96,Moderate
357,Open Ocean,Critical,Moderate,145.28,Pacific,0.59,230.12,26.1,160.2,Moderate
358,Estuary,Declining,Very High,166.94,Indian Ocean,8.65,1194.89,8.48,484.51,Moderate
359,Coral Reef,Critical,Moderate,29.12,Arctic,7.45,971.96,18.01,466.61,Moderate
360,Estuary,Declining,High,55.58,Indian Ocean,9.49,58.6,5.93,435.47,Good
361,Open Ocean,Declining,Moderate,36.97,Arctic,7.93,764.06,7.02,211.49,Good
362,Open Ocean,Critical,Moderate,76.11,Atlantic,3.48,216.72,21.81,345.96,Moderate
363,Open Ocean,Declining,Moderate,95.57,Mediterranean,2.85,1065.06,22.23,451.51,Moderate
364,Estuary,Increasing,Low,152.28,Arctic,7.13,794.58,13.54,425.36,Good
365,Open Ocean,Stable,Low,133.72,Pacific,3.96,1228.24,10.39,207.75,Good
366,Estuary,Declining,High,127.98,Indian Ocean,5.88,1612.18,25.34,57.08,Poor
367,Open Ocean,Increasing,High,76.95,Atlantic,0.56,602.84,10.43,38.74,Poor
368,Coastal,Declining,Low,169.88,Pacific,1.09,1924.39,18.55,288.95,Moderate
369,Open Ocean,Stable,High,99.54,Atlantic,5.59,1073.59,29.21,321.67,Good
370,Estuary,Increasing,Low,196.03,Mediterranean,5.88,1238.49,8.7,425.07,Good
371,Deep Sea,Stable,Very High,130.49,Indian Ocean,7.64,1362.94,28.52,146.96,Moderate
372,Open Ocean,Stable,Moderate,33.99,Indian Ocean,1.75,1335.13,9.57,84.57,Poor
373,Deep Sea,Increasing,Moderate,138.47,Mediterranean,5.38,1024.39,19.19,190.12,Good
374,Coastal,Increasing,High,71.77,Indian Ocean,2.35,860.38,14.43,177.43,Moderate
375,Coral Reef,Increasing,Low,140.4,Arctic,1.39,112.3,29.12,67.1,Moderate
376,Coastal,Critical,Low,23.23,Atlantic,4.4,49.06,11.84,336.47,Moderate
377,Open Ocean,Increasing,High,43.23,Pacific,2.05,719.13,14.99,254.84,Moderate
378,Deep Sea,Increasing,Low,172.59,Mediterranean,2.61,670.65,29.57,360.84,Good
379,Deep Sea,Increasing,Very High,53.16,Arctic,3.52,778.45,18.41,176.99,Moderate
380,Estuary,Increasing,Moderate,169.04,Pacific,2.96,281.04,17.57,163.53,Moderate
381,Deep Sea,Declining,High,63.06,Pacific,1.33,1477.65,11.44,236.82,Poor
382,Estuary,Critical,High,132.15,Mediterranean,1.35,1714.64,22.53,438.83,Poor
383,Coral Reef,Stable,Low,141.89,Arctic,2.34,1877.74,5.36,21.1,Moderate
384,Open Ocean,Increasing,High,107.4,Pacific,0.98,987.26,6.24,402.61,Moderate
385,Estuary,Declining,Very High,68.01,Pacific,6.45,1403.23,19.98,185.12,Poor
386,Coral Reef,Declining,Low,50.4,Arctic,3.23,1711.82,13.54,427.45,Good
387,Deep Sea,Declining,Low,16.31,Indian Ocean,3.16,839.49,28.83,401.3,Good
388,Deep Sea,Stable,Low,67.75,Pacific,3.65,622.28,27.58,175.03,Moderate
389,Coral Reef,Increasing,Low,134.1,Atlantic,6.8,1873.77,22.84,347.24,Good
390,Deep Sea,Critical,Very High,188.28,Arctic,8.77,1033.77,25.45,80.66,Poor
391,Coral Reef,Critical,Low,175.53,Pacific,7.71,997.02,21.68,448.24,Moderate
392,Estuary,Declining,High,155.55,Mediterranean,7.41,360.94,8.14,202.84,Moderate
393,Estuary,Stable,Very High,159.8,Atlantic,5.1,220.77,24.14,228.36,Poor
394,Coral Reef,Stable,Moderate,136.35,Pacific,7.09,1685.0,10.25,353.17,Good
395,Estuary,Stable,Moderate,59.45,Atlantic,5.75,1230.2,13.09,410.6,Moderate
396,Estuary,Critical,High,182.37,Atlantic,2.55,655.02,25.48,118.94,Poor
397,Estuary,Declining,High,137.44,Indian Ocean,2.48,387.51,18.41,331.01,Moderate
398,Coastal,Increasing,Very High,116.48,Atlantic,3.32,1113.22,26.5,196.61,Moderate
399,Open Ocean,Critical,Moderate,31.09,Indian Ocean,9.15,1169.92,10.33,184.98,Moderate
400,Deep Sea,Declining,Moderate,94.94,Arctic,5.7,417.95,20.19,345.32,Good
401,Coastal,Declining,Moderate,97.47,Indian Ocean,7.47,1703.55,7.09,194.2,Good
402,Estuary,Increasing,Moderate,174.27,Mediterranean,3.79,173.11,21.08,173.71,Good
403,Coral Reef,Increasing,Moderate,113.86,Pacific,4.37,715.41,24.06,418.11,Good
404,Estuary,Increasing,Low,82.28,Arctic,1.69,1362.37,19.62,51.54,Moderate
405,Open Ocean,Stable,High,195.59,Arctic,2.13,551.87,11.66,338.27,Moderate
406,Estuary,Increasing,Low,31.04,Mediterranean,8.36,1656.21,5.78,125.11,Good
407,Coral Reef,Declining,Moderate,90.28,Indian Ocean,6.06,1481.04,7.99,8.73,Poor
408,Open Ocean,Increasing,Very High,17.98,Pacific,3.71,1579.1,20.56,84.22,Poor
409,Estuary,Declining,Very High,150.58,Indian Ocean,8.13,242.62,28.36,303.72,Moderate
410,Open Ocean,Critical,Moderate,184.43,Atlantic,2.84,285.39,10.16,354.85,Poor
411,Deep Sea,Stable,Moderate,63.21,Indian Ocean,9.77,576.52,23.38,11.51,Moderate
412,Deep Sea,Critical,Very High,173.08,Arctic,3.78,1038.56,26.66,19.18,Poor
413,Estuary,Critical,Low,65.52,Pacific,3.7,1497.29,18.02,451.37,Moderate
414,Open Ocean,Declining,Low,183.05,Indian Ocean,3.46,1673.88,21.73,37.58,Moderate
415,Coral Reef,Critical,Moderate,153.25,Pacific,1.66,1410.15,25.38,447.2,Moderate
416,Estuary,Declining,Low,162.93,Pacific,1.56,1857.55,11.52,114.85,Moderate
417,Deep Sea,Increasing,Very High,13.42,Atlantic,6.66,1478.79,12.42,370.27,Good
418,Deep Sea,Increasing,Low,192.93,Atlantic,8.81,616.0,5.02,155.56,Good
419,Estuary,Declining,Moderate,148.07,Arctic,8.01,533.84,29.08,429.52,Good
420,Open Ocean,Increasing,Very High,67.9,Mediterranean,1.84,1393.9,27.94,350.53,Moderate
421,Deep Sea,Stable,Low,167.58,Pacific,5.68,389.78,24.11,201.5,Good
422,Open Ocean,Critical,High,63.49,Mediterranean,1.5,189.97,6.98,39.07,Poor
423,Deep Sea,Stable,Very High,175.82,Arctic,0.93,1066.78,16.19,366.62,Moderate
424,Deep Sea,Critical,Very High,31.39,Pacific,6.74,1644.17,7.55,308.83,Poor
425,Coastal,Increasing,High,143.7,Pacific,5.58,207.25,5.4,2.45,Moderate
426,Deep Sea,Stable,High,112.73,Mediterranean,1.28,1584.82,20.4,5.7,Poor
427,Coral Reef,Increasing,Very High,28.34,Indian Ocean,0.83,1624.09,29.02,404.59,Moderate
428,Estuary,Critical,High,55.96,Atlantic,9.9,967.14,27.57,130.44,Moderate
429,Estuary,Declining,Moderate,12.36,Indian Ocean,0.79,119.33,22.42,318.43,Moderate
430,Open Ocean,Declining,Moderate,99.07,Mediterranean,4.72,353.31,7.42,227.65,Moderate
431,Deep Sea,Stable,Moderate,67.24,Atlantic,5.29,1416.32,11.85,431.85,Moderate
432,Coral Reef,Increasing,Very High,123.69,Indian Ocean,1.61,1425.0,13.0,458.56,Moderate
433,Open Ocean,Increasing,High,66.48,Atlantic,2.11,1797.22,24.08,498.41,Moderate
434,Coastal,Stable,High,66.98,Pacific,3.84,1167.46,25.06,77.69,Poor
435,Open Ocean,Declining,Low,151.21,Indian Ocean,7.74,252.59,14.63,431.62,Good
436,Open Ocean,Critical,Low,19.15,Atlantic,5.32,247.22,15.45,133.74,Moderate
437,Deep Sea,Stable,High,181.55,Atlantic,6.56,1443.66,6.11,295.82,Moderate
438,Coastal,Critical,High,171.93,Atlantic,9.86,371.65,12.23,253.38,Poor
439,Open Ocean,Declining,High,136.88,Indian Ocean,7.8,660.13,16.28,9.98,Poor
440,Coral Reef,Increasing,Very High,122.71,Arctic,4.63,976.99,7.92,466.45,Moderate
441,Coral Reef,Declining,High,179.54,Indian Ocean,4.74,54.41,16.33,40.09,Poor
442,Estuary,Stable,Low,45.21,Mediterranean,6.38,501.39,26.33,344.42,Good
443,Coastal,Increasing,Very High,25.0,Indian Ocean,6.82,818.74,19.53,392.72,Moderate
444,Coastal,Stable,High,55.51,Atlantic,5.26,562.87,6.97,397.85,Moderate
445,Estuary,Stable,Low,160.97,Pacific,6.63,277.06,9.79,68.61,Moderate
446,Open Ocean,Declining,Very High,16.59,Indian Ocean,0.72,1457.38,16.86,224.34,Poor
447,Coastal,Stable,High,120.73,Indian Ocean,4.58,1627.23,14.04,414.89,Moderate
448,Coral Reef,Declining,High,199.13,Atlantic,3.15,518.67,13.97,152.04,Poor
449,Coral Reef,Increasing,High,172.58,Pacific,1.73,1549.97,18.23,234.41,Moderate
450,Deep Sea,Declining,Very High,109.07,Pacific,1.45,774.18,19.61,137.12,Poor
451,Coastal,Increasing,Low,22.09,Mediterranean,6.23,1015.84,24.92,232.31,Good
452,Open Ocean,Declining,Low,167.96,Indian Ocean,5.47,1712.72,13.52,444.03,Good
453,Estuary,Critical,Moderate,123.81,Pacific,2.91,1501.16,25.14,228.11,Poor
454,Estuary,Critical,High,31.84,Pacific,4.97,1611.21,13.47,278.4,Poor
455,Open Ocean,Stable,Moderate,27.83,Arctic,5.18,278.01,6.39,202.58,Moderate
456,Deep Sea,Declining,Moderate,182.83,Arctic,2.35,144.09,18.85,230.6,Poor
457,Estuary,Declining,Low,137.15,Pacific,6.69,1787.34,19.7,8.57,Moderate
458,Coastal,Increasing,Very High,167.56,Mediterranean,7.92,778.73,28.36,142.59,Moderate
459,Deep Sea,Stable,Very High,177.01,Pacific,8.02,579.32,23.15,218.85,Moderate
460,Coastal,Declining,Low,118.64,Atlantic,6.22,1450.77,27.94,317.26,Moderate
461,Coral Reef,Stable,Very High,108.31,Indian Ocean,5.36,1673.65,27.71,225.58,Moderate
462,Deep Sea,Critical,Moderate,91.78,Mediterranean,1.08,1725.67,20.11,169.57,Poor
463,Estuary,Declining,High,70.22,Atlantic,3.23,635.41,18.19,194.66,Poor
464,Deep Sea,Declining,Low,92.57,Mediterranean,1.39,1705.16,18.94,121.9,Poor
465,Deep Sea,Stable,High,157.04,Atlantic,9.66,86.66,29.46,462.32,Moderate
466,Deep Sea,Declining,Very High,124.37,Indian Ocean,1.78,104.07,24.33,261.35,Poor
467,Deep Sea,Stable,High,179.58,Indian Ocean,1.94,1248.92,7.66,7.69,Moderate
468,Coastal,Declining,Very High,94.24,Arctic,8.95,130.9,24.46,10.7,Poor
469,Coral Reef,Increasing,Very High,125.35,Atlantic,9.47,652.6,9.26,486.51,Moderate
470,Open Ocean,Stable,Moderate,129.95,Arctic,7.78,1347.15,16.18,111.5,Moderate
471,Deep Sea,Declining,Very High,122.42,Atlantic,0.55,677.85,10.26,403.0,Poor
472,Estuary,Critical,Moderate,143.5,Arctic,0.51,363.3,22.24,30.08,Poor
473,Deep Sea,Declining,Moderate,55.11,Indian Ocean,4.09,566.29,26.93,460.66,Moderate
474,Estuary,Critical,Moderate,107.35,Mediterranean,1.86,917.86,12.26,437.33,Moderate
475,Coastal,Critical,Low,29.8,Arctic,0.67,953.39,7.05,285.98,Moderate
476,Estuary,Increasing,Low,83.06,Atlantic,4.91,1567.09,12.46,5.49,Good
477,Open Ocean,Stable,Very High,102.66,Atlantic,9.46,1501.56,21.81,129.65,Moderate
478,Coral Reef,Declining,Moderate,133.92,Indian Ocean,3.58,916.35,13.22,204.0,Poor
479,Estuary,Increasing,Low,190.6,Atlantic,6.78,1692.11,11.95,230.57,Good
480,Estuary,Declining,Moderate,124.12,Pacific,6.7,232.9,9.61,149.54,Poor
481,Coral Reef,Critical,High,151.28,Mediterranean,2.89,514.43,17.44,17.44,Poor
482,Open Ocean,Stable,High,106.19,Arctic,6.68,1656.81,11.9,295.47,Moderate
483,Deep Sea,Declining,High,130.48,Mediterranean,2.52,759.1,23.28,262.55,Poor
484,Estuary,Declining,Very High,23.48,Indian Ocean,1.66,1962.46,6.92,142.22,Poor
485,Coral Reef,Critical,Moderate,58.33,Arctic,7.16,935.18,21.6,19.95,Poor
486,Coastal,Declining,High,78.75,Arctic,1.58,1584.91,10.94,497.3,Moderate
487,Coral Reef,Declining,Low,99.77,Pacific,9.97,807.6,17.23,241.51,Moderate
488,Coastal,Critical,High,18.67,Indian Ocean,2.24,852.78,12.15,378.25,Poor
489,Open Ocean,Increasing,High,36.6,Atlantic,6.14,768.85,23.07,226.7,Moderate
490,Deep Sea,Critical,High,62.59,Pacific,4.41,1439.56,28.63,22.54,Poor
491,Coral Reef,Increasing,Very High,194.59,Pacific,1.7,1097.3,27.93,155.49,Moderate
492,Estuary,Stable,Low,72.96,Mediterranean,0.76,1887.84,19.59,160.73,Good
493,Open Ocean,Increasing,Moderate,101.59,Mediterranean,6.42,505.53,16.57,419.34,Good
494,Coral Reef,Increasing,Low,47.26,Mediterranean,8.16,205.62,25.46,327.46,Good
495,Estuary,Stable,Moderate,126.05,Pacific,8.5,789.56,22.08,138.44,Moderate
496,Coral Reef,Increasing,Very High,63.33,Atlantic,5.09,1235.34,9.59,483.9,Moderate
497,Coastal,Critical,Very High,49.33,Arctic,7.89,1722.29,25.52,161.45,Moderate
498,Coral Reef,Increasing,Very High,108.15,Mediterranean,6.89,695.66,15.72,499.12,Moderate
499,Coral Reef,Stable,Very High,11.05,Atlantic,7.38,1309.3,9.72,498.09,Moderate
